Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,WHRS_cycle_output,CO2_red,EPC,rankValue,Time
62.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,381.90364435626344,16.921575066408913,0.3262065816117662,381.90364435626344,4.098625898361206
67.5,4.15,0.0001,0.0001,25.0,0.0001,5.593337124504999,0.2,391.07501748492245,16.186377271183538,0.3185564834382074,391.07501748492245,4.263438940048218
72.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,416.0288112391304,16.056510426843484,0.2994491702617321,416.0288112391304,3.739058017730713
77.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,439.743374544408,16.043559888838054,0.28330041915833704,439.743374544408,4.375901222229004
82.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,455.9325275206514,15.692916740129114,0.27324104952106004,455.9325275206514,4.209928274154663
87.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,491.97621173463267,15.783765364729607,0.25322257328516806,491.97621173463267,4.368675947189331
92.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,505.5670503579239,15.410965317802706,0.2464153513215199,505.5670503579239,5.987569808959961
92.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,505.5670503579239,15.410965317802706,0.2464153513215199,505.5670503579239,3.7626760005950928
102.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,508.75305437731305,14.196096847574513,0.2448722052057478,508.75305437731305,3.9078011512756348
