Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,WHRS_cycle_output,CO2_red,EPC,rankValue,Time
100,4.15,0.0001,0.0001,25.0,10.0,5.59,0.2,482.3071886351963,13.850219481188986,0.25829903693341133,1259.5760165264471,3.8999109268188477
62.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,381.90364435626344,16.921575066408913,0.3262065816117662,1004.0150967022,4.261564254760742
67.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,398.5565129317469,16.445109111551858,0.3125767069119924,1046.4395979787114,4.257587909698486
72.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,416.0288112391304,16.056510426843484,0.2994491702617321,1091.0761556571117,4.777529716491699
77.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,439.743374544408,16.043559888838054,0.28330041915833704,1152.235925160672,4.0094521045684814
82.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,455.9325275206514,15.692916740129114,0.27324104952106004,1193.6046041688485,4.922247886657715
87.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,491.97621173463267,15.783765364729607,0.25322257328516806,1286.6841578456133,4.7445619106292725
89.98018422008742,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,529.3958289006425,16.39604827340413,0.23532388343375776,1383.8966931000896,5.402684211730957
92.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,505.5670503579239,15.410965317802706,0.2464153513215199,1321.3251203956202,4.605686902999878
102.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,508.75305437731305,14.196096847574513,0.2448722052057478,1328.182655096346,4.002263069152832
