Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,WHRS_cycle_output,CO2_red,EPC,rankValue,Time
100,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,492.0603125452949,14.090830870748693,0.2531792935831716,1285.0045372008653,5.467368125915527
60,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,367.36396841861267,16.949805098340466,0.3391173142722957,966.5395259843215,0
65,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,383.6350433453357,16.439376175778687,0.32473436535981415,1007.9412801190072,0
70,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,400.7269565651241,16.02441864007187,0.31088370844422175,1051.567237491584,0
75,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,418.6397080779778,15.687382107474235,0.2975816195326785,1097.3977338350514,0
80,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,448.5568265051238,16.020486090527207,0.27773400151142125,1174.9452504958936,0
85,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,450.05469914125285,15.001549780744938,0.27680964684568754,1177.6676611071846,0
90,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,523.4507728090072,16.23883253389523,0.2379965582283857,1368.384895626218,0
95,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,476.04398053710935,14.312618333454353,0.2616974217171536,1243.9375652000354,0
100,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,492.0603125452949,14.090830870748693,0.2531792935831716,1285.0045372008653,0
