Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,WHRS_cycle_output,CO2_red,EPC,rankValue,Time
57.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,367.6077852221233,17.566970161257554,0.3388923938464918,17.566970161257554,4.132169961929321
62.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,383.4348193420451,16.97790062649459,0.3249039368524343,16.97790062649459,3.979172945022583
67.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,400.0809517294869,16.497632849912193,0.3113856878014184,16.497632849912193,4.763126850128174
72.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,417.54618238444857,16.105641057488018,0.2983609660112469,16.105641057488018,4.770837068557739
78.71428677116795,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,448.5630731728256,16.16712877191645,0.27773013380112427,16.16712877191645,5.349196910858154
87.5,4.15,0.0001,0.3796339074830915,0.0001,0.0001,6.6,0.2,492.5707587195187,15.79982610953895,0.2529169264013718,15.79982610953895,5.548503160476685
89.97689594553002,4.15,25.0,0.0001,0.0001,0.0001,6.6,0.2,526.5624430688902,16.323117603371696,0.23659014039144763,16.323117603371696,5.486547231674194
92.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,507.0482027333111,15.449139421871926,0.24569554069804417,15.449139421871926,4.776985168457031
97.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,491.81423028045674,14.393941172508173,0.25330597339465144,14.393941172508173,4.380001783370972
