Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,WHRS_cycle_output,CO2_red,EPC,rankValue,Time
100,4.15,0.0001,0.0001,25.0,10.0,5.59,0.2,482.3071886351963,13.850219481188986,0.25829903693341133,1259.5760165264471,3.8999109268188477
60,4.15,0.0001,0.0001,25.0,10.0,0.2,0.2,357.27992389047773,16.56159314022412,0.34868872836169085,940.0912589325166,0
65,4.15,0.0001,0.0001,25.0,10.0,0.2,0.2,373.5941791863493,16.078288650093388,0.33346205393738737,981.6349323668718,0
70,4.15,0.0001,0.0001,25.0,10.0,0.2,0.2,390.7314511255591,15.687417884773879,0.31883658705144663,1025.4050128535266,0
75,4.15,0.0001,0.0001,25.0,10.0,0.2,0.2,408.691739708107,15.371911440661279,0.3048250557241717,1071.3823755859385,0
80,4.15,0.0001,0.0001,25.0,10.0,0.2,0.2,438.68825253441616,15.728535030279655,0.28398180623895053,1149.1612136009028,0
85,4.15,0.0001,0.0001,25.0,10.0,0.2,0.2,440.1901002424846,14.721140980527892,0.28301291251644706,1151.9068163235122,0
90,4.15,0.0001,0.0001,25.0,10.0,0.2,0.2,513.780953269888,15.986806840308665,0.24247586746387434,1343.158583432034,0
95,4.15,0.0001,0.0001,25.0,10.0,0.2,0.2,466.24835229760197,14.05951252036266,0.26719554442739235,1218.3853410060956,0
100,4.15,0.0001,0.0001,25.0,10.0,0.2,0.2,482.3071886351963,13.850219481188986,0.25829903693341133,1259.5760165264471,0
